,Rb,Ba,Th,U,Nb,K,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Ti,La,Ce
ODP0129-0801B-043R-001/132-135,2.4522009728118745,1.8254268296993963,1.236555179025451,1.1740780737072727,1.6381601961668812,0.9489703707281368,1.8466433309444494,0.8500680563491362,0.8957111794523851,0.674520184922677,0.7247587463764906,0.7328883185691915,0.959561418062591,1.6245861838203832,1.0553193831283563,1.263771050307675,0.7941805530144472,1.0,1.0,1.0,1.0
ODP0129-0801B-038R-001/022-025,5.502014400155931,3.668678649857755,0.9928163315864172,2.2034742546199153,1.373895615100529,4.519026143802837,0.9405187900221128,0.2848475527856279,0.8472800985701076,0.7033506133541487,0.7262705515311499,0.6856243535974954,1.059686715041676,0.7062518632971139,0.7333522340569664,0.9560936532672429,0.18576838419751848,1.0,1.0,1.0,1.0
ODP0129-0801B-040R-001/015-018,6.528396725872338,1.4499329050552974,1.006588174293882,1.1380065330397755,1.138909887783077,3.832697754165552,3.5794465481554187,0.5660727465671433,0.883659173707436,1.5320698854634864,1.0969687800996817,1.0442694216583968,1.1636615130791974,0.3146924717086372,1.1326736324782671,1.3639896982463047,0.23940717059731048,1.0,1.0,1.0,1.0
ODP0129-0801B-041R-001/020-025,2.4133624511114085,1.1490256181043612,1.181501872946695,0.7924676730727066,1.0156207891121511,1.1339594738510554,3.9578944945196968,0.6839743790748297,0.879282240673426,1.2003596395400906,1.1748759407113416,1.306821019068119,0.9966961633371515,0.693413342918842,1.2436073869387196,1.0679203104820811,0.7545219169294568,1.0,1.0,1.0,1.0
ODP0129-0801B-041R-001/026-031,1.877968905925146,1.8183147500286414,0.9921631709272087,1.792255791707195,1.2449792231876247,1.011697162899825,1.9117608891769806,0.9348345302558031,0.8532192126597126,0.9844872017844932,0.9450195205264887,0.9305394445288252,0.9569573263986013,0.8109823707529439,1.2995138214518531,1.1461652891858745,0.8498612836155871,1.0,1.0,1.0,1.0
ODP0129-0801B-041R-001/130-136,1.9962280416408853,1.1682726057703665,1.11129980810781,0.9040509295177396,1.0607169543092823,0.9889455107010081,4.546783877367302,0.7699140950670262,0.8936376263608597,1.068733453068119,1.2105048486063412,1.4571306515365903,0.9751946698405148,0.7371509206797668,1.1964254038657514,1.0356071795072557,0.7901330114720801,1.0,1.0,1.0,1.0
ODP0129-0801B-042R-002/000-007,1.9439125071773413,1.3203211492748694,0.9690944546596515,1.0199339730722632,0.9977582197164142,0.8012635516334846,3.5351495487636355,0.9149803592388501,0.9202917756093602,1.0901553852963477,1.1804475970777182,1.2882712694936924,0.9875589160294824,1.1235159640009094,1.1444596407982903,0.8665321192965442,0.8683049947567039,1.0,1.0,1.0,1.0
ODP0129-0801B-042R-002/129-134,2.2145487581512198,1.6657145705247112,1.0052556124200107,1.0990030664412818,1.1091784072613866,1.004081222017233,5.055383318081124,1.1941343898427217,0.7497146215649025,1.0229351171441914,1.0227558574811526,0.953525700866417,0.9691270449108668,1.0002113543406883,1.1330508011971174,1.1964364297230445,0.7992731586268871,1.0,1.0,1.0,1.0
ODP0129-0801B-043R-001/022-027,2.2719642936130113,2.3624372836607583,1.080399758420494,1.334679886914368,1.1748235311179416,1.0580859891784948,3.2022855064008238,0.7795095866813622,0.8249998545023736,1.015749761577904,0.9638666954562798,0.910176990036014,0.9582467314173507,1.1220601862688089,1.3943526271641025,1.1551047456777215,0.6181830704851646,1.0,1.0,1.0,1.0
ODP0129-0801B-043R-001/128-134,1.6094957097740543,1.3598424595154774,0.9406441554194229,0.8711788346883546,1.0265282681611685,0.6846196311305565,0.8828468954960066,0.7531528419232368,0.94062594355554,0.9987448958449284,1.0133628412283948,1.186518927029288,0.9215578355052374,1.4677350939838696,0.9518212323042289,1.03409674173355,0.6544151483205446,1.0,1.0,1.0,1.0
ODP0129-0801B-043R-004/005-010,2.8694258410548774,2.1285778831723614,1.1101792959904293,1.0915804756895724,1.1567833057044006,1.8070923441030886,4.991164999271202,0.8215794646788039,0.6866229459948546,0.9143517076366855,0.9181638642625432,0.9276431839574252,0.9846827357698401,0.5335697645889309,1.3140103974792536,1.151236791688814,0.6318602019388052,1.0,1.0,1.0,1.0
ODP0129-0801B-044R-001/018-024,2.442412257157393,1.3018466600639582,0.8835840976941188,0.9168696103698603,1.0122382207656055,1.1735089916627603,4.305709261312137,0.8654051827853122,0.9056768813582297,1.0431771909223237,1.0667435792112887,1.226047242671812,0.9367770442686328,0.4882393473635848,1.2740600160716533,1.0260312494458612,0.9742441027506298,1.0,1.0,1.0,1.0
ODP0129-0801B-044R-001/107-113,3.9673639267010485,1.763671203797183,0.9897767984715642,0.7873731400466027,1.1727813258144044,2.6305371350365343,0.6654887420599228,0.4739455280884916,0.7907274665555111,1.0445922006770314,1.0425395342319919,0.8773912813321861,1.0305079200684744,0.5093994984983854,1.1115952951899788,1.3511335193998528,0.3941310681247242,1.0,1.0,1.0,1.0
ODP0129-0801B-044R-002/027-032,3.4225698967121447,1.8675501218489194,0.9098710850773342,2.4635348202547336,1.0847505940791888,2.6295756546913167,4.1232656628787545,0.5425423131351663,0.9147708843249973,1.0067432226384276,1.083197448398659,1.206144169400193,1.0891823246601497,0.5127634708862439,1.073484084382312,0.9990822279822137,0.3541955900059978,1.0,1.0,1.0,1.0
ODP0129-0801B-044R-003/028-033,2.1837565535788075,1.801084925443582,1.051667362046805,1.3290648131329512,1.1749312344876686,1.231139083960245,7.690484888255948,1.0169967212676563,0.9337588168057671,1.0663253650805662,1.0345461124252975,1.0397923966510036,0.9961547497960348,0.6486630818707222,1.4043008527347993,1.0474406774924703,0.7407349008172772,1.0,1.0,1.0,1.0
