,Rb,Ba,Th,U,Nb,K,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Ti,La,Ce
ODP0129-0801B-043R-001/132-135,23.504515296516992,32.999140319770085,22.83383272867754,29.323919933075366,34.84564518273249,29.617144701451796,14.491462932690547,19.51335260891825,20.53112220626398,7.7548001493370515,5.3735444326033965,5.347225245136632,49.29335330666106,6.869441652985193,3.051209000307311,0.40513667398485637,8.62524267812862,20.982142857142858,11.156830923718374,31.877729257641917,27.380281690140848
ODP0129-0801B-038R-001/022-025,23.47028722135965,17.82343830917583,23.69966228003958,25.50085442235796,36.750159936108666,22.40542074082674,14.975253223726,16.97091365354613,18.30516402764365,6.249520953202235,4.719992954667815,4.730350119895582,48.552085507627176,6.640690444489431,2.781746485879709,0.3765321511860036,10.766094610983414,17.321428571428573,12.309396101788455,29.54876273653566,24.225352112676056
ODP0129-0801B-040R-001/015-018,26.534592447511802,43.32130930012327,36.93314856824585,32.638527165255674,60.34165073285071,26.781982250341066,23.608968905282243,26.54022256604515,23.402086299272444,4.733953275606047,3.4023315786243473,3.2351597282367996,44.325604499467126,8.738690141104263,2.569142528402448,0.46188032124435935,10.985468787080455,13.660714285714286,15.213860350525056,43.8136826783115,33.29577464788733
ODP0129-0801B-041R-001/020-025,40.4571618451369,55.78703268938472,35.8466982966699,62.493160549737475,73.19050736101694,46.33817505293276,32.027271963868884,33.67549437539722,32.825215740251004,6.591431144018949,4.868668203758901,4.5499313671783,46.48357413645225,6.518478546971119,3.1199557358299868,0.6461156260700012,10.218391046049412,27.5,16.41252813571794,57.65647743813682,46.06197183098592
ODP0129-0801B-041R-001/026-031,32.70412126679466,32.57738639250691,35.810048997789835,37.19707140863191,54.074137838420356,36.92607991660055,22.101885945030944,26.26107855307579,26.833813883004456,7.143787161701029,4.958202741326983,4.647115551897887,47.82867400393926,6.411976619383405,2.9318657001611275,0.5409341967076916,9.707466570193443,24.28571428571429,15.25996295764786,44.39592430858806,35.943661971830984
ODP0129-0801B-041R-001/130-136,41.02224899727125,51.68365481178601,37.05253099822425,53.19969984533306,64.78985971290346,46.07211059436161,30.976856217781776,31.517026378753886,29.314404603777213,6.580655834040562,4.356722467878901,4.080585319975088,47.252104041479235,6.592951136136859,3.100903732077802,0.5890264301665419,9.669258073100979,25.446428571428573,14.937244707788237,52.83842794759825,41.780281690140846
ODP0129-0801B-042R-002/000-007,34.02505618913152,40.85514251083402,36.41968796473426,46.68836304727518,59.03838193613922,42.70223907132824,31.8730664102838,29.627963557477685,25.207149154207688,5.84653019155959,3.8834239743757033,3.986066643520903,47.5009634752764,5.785409560940372,2.9970475827417435,0.6231736688980152,9.627953369475254,21.696428571428573,13.323653458490124,47.2197962154294,36.59154929577465
ODP0129-0801B-042R-002/129-134,27.022443946999807,30.407984616622723,30.077219907143675,38.56308837989647,51.843333709803545,31.642625180923567,19.50228955797503,22.185853803900596,24.6277855593052,6.015871437698152,4.32352126010039,4.251646337765575,47.80590970326403,7.178482796501402,2.8771878512028484,0.46805662723729574,10.08416198267773,20.80357142857143,13.461961279858535,40.174672489082965,32.901408450704224
ODP0129-0801B-043R-001/022-027,27.725843298390128,29.979878640140562,27.87639188558729,33.89434101886461,50.14032260614155,31.34747764454628,17.593068468256174,23.3467970678603,25.06602653247583,6.058427367274531,4.461408263225593,4.454138149431401,47.87910931054105,7.379283305232953,2.8830583610517935,0.47614729491679547,10.045567885135135,21.78571428571429,13.554166494104141,39.44687045123726,32.563380281690144
ODP0129-0801B-043R-001/128-134,31.3102423829859,39.03644604297706,31.767967481658623,42.08856460543302,50.55234204860193,37.22832286027434,31.907020603703828,23.408703748012183,21.33310255455997,5.501410337478818,3.943250178804944,3.6445472767562377,48.211841176133646,7.208385248377985,2.8997041737747513,0.4448326558198611,10.070060292632615,18.571428571428573,11.433446566455194,40.116448326055306,31.47605633802817
