,Rb,Ba,Th,U,Nb,K,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Ti,La,Ce
ODP0129-0801B-043R-001/132-135,14.92536721328829,230.63099169487313,1.940875781937591,0.6158023185945828,24.844945015288264,7404.286175362949,1.0288938682210287,411.7317400481751,27.79913946728143,35.284340679483584,2.6491574052734745,0.39569466814011073,49.29335330666106,6.869441652985193,3.051209000307311,0.40513667398485637,8.62524267812862,235.0,14503.880200833886,21.9,48.6
ODP0129-0801B-038R-001/022-025,14.903632385563379,124.56801034282988,2.014471293803364,0.5355179428695171,26.20286403444548,5601.355185206686,1.0632429788845459,358.0862780898234,24.7851920934295,28.435320337070166,2.326956526651233,0.35004590887227305,48.552085507627176,6.640690444489431,2.781746485879709,0.3765321511860036,10.766094610983414,194.0,16002.21493232499,20.3,43.0
ODP0129-0801B-040R-001/015-018,16.849466204169996,302.7726306985615,3.1393176283008972,0.6854090704703691,43.023596972522554,6695.495562585266,1.6762367922750392,559.9986961435527,31.68642484921489,21.539487404007513,1.6773494682618033,0.23940181988952317,44.325604499467126,8.738690141104263,2.569142528402448,0.46188032124435935,10.985468787080455,153.0,19778.018455682573,30.100000000000005,59.1
ODP0129-0801B-041R-001/020-025,25.690297771661932,389.8955714661098,3.0469693552169415,1.312356371544487,52.184831748405074,11584.54376323319,2.2739363094346907,710.5529313208814,44.44534211229986,29.991011705286216,2.400253424453138,0.3366949211711942,46.48357413645225,6.518478546971119,3.1199557358299868,0.6461156260700012,10.218391046049412,308.0,21336.28657643332,39.61,81.76
ODP0129-0801B-041R-001/026-031,20.767117004414608,227.6833534972308,3.043854164812136,0.7811384995812702,38.55486027879371,9231.519979150138,1.5692339020971968,554.1087574698993,36.33298399758804,32.50423158573968,2.4443939514742024,0.3438865508404436,47.82867400393926,6.411976619383405,2.9318657001611275,0.5409341967076916,9.707466570193443,272.0,19837.951844942218,30.499999999999996,63.8
ODP0129-0801B-041R-001/130-136,26.049128113267244,361.21706347957246,3.1494651348490614,1.1171936967519942,46.19516997530017,11518.027648590403,2.199356791462506,665.0092565917071,39.691703833514346,29.941984044884556,2.1478641766642985,0.30196331367815654,47.252104041479235,6.592951136136859,3.100903732077802,0.5890264301665419,9.669258073100979,285.0,19418.41812012471,36.3,74.16
ODP0129-0801B-042R-002/000-007,21.605910680098514,285.536591008219,3.0956734770024124,0.9804556239927789,42.09436632046726,10675.559767832061,2.2629877151301496,625.1500310627791,34.13047995479721,26.601712371596133,1.9145280193672216,0.2949689316205468,47.5009634752764,5.785409560940372,2.9970475827417435,0.6231736688980152,9.627953369475254,243.0,17320.749496037162,32.44,64.95
ODP0129-0801B-042R-002/129-134,17.159251906344878,212.5214044855762,2.5565636921072126,0.8098248559778259,36.964296935089926,7910.656295230891,1.384662558616227,468.1215152623026,33.34602164729924,27.37221504152659,2.131495981229492,0.3146218289946525,47.80590970326403,7.178482796501402,2.8771878512028484,0.46805662723729574,10.08416198267773,233.0,17500.549663816095,27.599999999999998,58.39999999999999
ODP0129-0801B-043R-001/022-027,17.605910494477733,209.5293718159424,2.36949331027492,0.7117811613961568,35.750050018178925,7836.86941113657,1.2491078612461883,492.6174181318524,33.93939992497228,27.565844521099113,2.199474273770217,0.32960622305792364,47.87910931054105,7.379283305232953,2.8830583610517935,0.47614729491679547,10.045567885135135,244.0,17620.416442335383,27.099999999999998,57.800000000000004
ODP0129-0801B-043R-001/128-134,19.882003913196048,272.82572139436667,2.700277235940983,0.8838598567140935,36.043819880653174,9307.080715068585,2.2653984628629718,493.9236490830571,28.885020858874203,25.031417035528623,1.9440223381508375,0.2696964984799616,48.211841176133646,7.208385248377985,2.8997041737747513,0.4448326558198611,10.070060292632615,208.0,14863.480536391751,27.56,55.87
ODP0129-0801B-043R-004/005-010,20.56160474888246,212.34834937134377,2.387001819950032,0.7328822911518499,37.1720440535023,7897.277146412547,1.202124153554552,500.25593100806174,34.95368184240649,31.71646069864732,2.5376733834667133,0.3665202373929204,47.93422113072625,6.7095256095668745,2.9223513051087773,0.5124923076289942,9.733165629247242,259.0,18459.4838919704,27.9,59.4
ODP0129-0801B-044R-001/018-024,20.88099576578299,288.8204974781957,3.168911716844083,1.0361342433596148,42.48011892642918,10933.79385588917,2.0902479600439414,566.2087652663829,36.37058721273794,30.67551733153525,2.399826959251792,0.32625170228213785,47.89827021757479,5.427665783820129,3.147418449222,0.5555386352100342,9.617712823249565,264.0,19538.284898643993,32.84,67.53
ODP0129-0801B-044R-001/107-113,15.879561634363577,247.7786103550023,2.6470614425857057,0.6985252252412963,35.81230283559836,7581.9643086601845,1.5026550214878864,527.486778930683,31.616455804807863,25.847407229826615,1.9375764023069633,0.30773043423687296,46.70512381583821,5.9874420940555115,2.8067769029795797,0.42186800328451834,11.036937587024797,214.0,19538.284898643993,27.0,56.6
ODP0129-0801B-044R-002/027-032,19.5759332963113,284.32971826978184,3.077359030221314,0.9336178165982553,40.56231933880639,9410.384340354125,1.9402096915614728,573.2271796513667,35.418704896699595,30.79236025920948,2.326445657461096,0.33163531371122673,47.209726815980275,5.909157286034915,2.9809477816723255,0.5505052383033596,10.050943886511169,254.0,19598.21828790364,31.839999999999996,66.47
ODP0129-0801B-044R-003/028-033,21.064619096214635,219.86747787724156,2.6244039699286255,0.7298364913547428,37.44900016994297,8188.697609417668,1.30030812689989,519.1757150818182,35.34103175902262,30.947402247630755,2.513179421171273,0.3654575675143577,47.83393344232556,6.490272250208079,2.9053603378894364,0.5441835630868914,9.774077057813624,268.0,18938.951006047555,28.9,60.6
ODP0129-0801C-001R-001/014-020,21.20954535323846,272.0823661897484,2.7134366686514153,0.8781474780448552,38.003868566056475,9373.697984580416,2.286815074212406,522.5757781647376,32.06699088895813,25.116339973598475,2.0546601417028367,0.2750811260394169,47.400423863112124,6.4319926642011795,2.9442834354414145,0.4481743626610709,10.271449313982755,221.0,16122.081710844279,28.970000000000002,59.22
ODP0129-0801C-001R-001/109-114,20.17287582050134,230.78656815298834,2.6319474237763547,0.7870773764997235,34.77406702594888,8582.122986122045,1.3010699701193504,504.51885734839937,33.49501392208385,27.83907681669793,2.3194300698633437,0.33298978561706644,48.00931564986518,7.121764914713797,2.8914925804002154,0.44043173543751496,10.015146761871744,242.0,16781.348992700365,27.4,57.50000000000001
ODP0129-0801C-001R-005/033-038,20.824537382585554,223.04566500910315,2.6345755492376206,0.7308346755573687,37.4706555782027,8224.768537499347,1.3796985254922904,509.50981162010544,35.28690679476368,31.150241892709136,2.564584806789539,0.36695480443286854,48.068220113522784,6.388034014807941,2.9397119937010188,0.5466285383304075,9.725679969331102,267.0,18819.084227528267,28.9,60.300000000000004
ODP0129-0801C-002R-001/112-118,21.024964582955725,264.42948962050986,3.168784698964621,0.931558206864604,40.210906254732954,9757.576896982611,1.8450014048779921,561.5364839445168,35.47618576803881,31.472160139841566,2.1441445261053063,0.3161177655307319,47.96995549098635,5.8844232908585825,3.006246514260583,0.5567647707941381,9.857924256902521,259.0,18399.550502710757,31.160000000000004,64.62
ODP0129-0801C-002R-003/114-119,19.644031502142347,201.9170004269993,2.574764984986608,0.6911541235030356,37.22954539900308,8352.45710759898,1.279661859850617,489.44491150689424,34.841714284798,31.178352251256538,2.619840458879872,0.3682751524140146,47.909611620590006,6.533951453586842,2.9781383421432444,0.5366572032922423,9.804921850246819,255.00000000000003,18998.8843953072,27.7,57.99999999999999
ODP0129-0801C-002R-004/071-076,20.348970018965776,270.23591427772266,3.1432293183828586,0.9281153937804898,40.60936612367441,9836.965721128507,1.8311815099983757,560.7770503939694,35.318306769651244,31.53041702281404,2.2448201794468945,0.3263201037742606,47.77590997027132,5.648115056346904,2.9947327596732918,0.5528550022333676,10.021973530593138,257.0,18879.01761678791,31.14,64.75
ODP0129-0801C-005R-001/103-105,0.9680641609228461,9.523673391585232,0.10803087729806889,0.06428627340717202,1.5017875777435543,777.0248834618988,0.4396005418554054,90.67871960612325,6.433823588370537,30.988834678839538,3.0171029303778063,0.4696227703368452,49.83382134055132,7.998085110920665,2.377397721246194,0.09573613175268163,11.166528803263406,70.0,7371.8068789362305,1.8600000000000003,6.0
ODP0129-0801C-005R-002/087-089,0.4882121960600412,5.1733636951472555,0.05703935729506348,0.03538829210379436,1.049283062972626,518.7289940238146,0.3728064012558411,77.63459624373358,6.05760018566067,29.36457710391103,2.8712409781904764,0.443091578810019,49.788918493315855,7.781705638928556,2.2065161647008638,0.09173995706534949,11.829265603574184,66.0,7192.006711157299,1.4500000000000002,5.4
ODP0129-0801C-005R-003/038-043,0.6542282195854578,6.9830116639443895,0.05899882546335994,0.0437478863114501,0.9236461185988146,716.5764779952893,0.42735535209709496,85.45532303766255,5.9231848957720485,28.326043443125695,2.854069180681061,0.4446506184248524,49.687766208677616,7.767287928421963,2.2713174673214818,0.09423634387258809,11.70962346843621,69.0,6892.339764859078,1.37,5.3
ODP0129-0801C-005R-003/125-131,2.9843802833867534,49.12678389455482,0.4369047855820207,0.1660983474288632,2.750324699251437,1272.3746463099512,1.2575165126059937,127.16567209228924,8.064045748084391,25.071077014892296,2.3087174593854543,0.3679588318912386,49.38123919504777,8.12049994331372,2.118515856053733,0.0981059320132906,10.777958582823324,67.0,6173.139093743349,3.9500000000000006,10.44
ODP0129-0801C-006R-002/029-034,0.6238055883041924,3.5675814197622664,0.04726191846014581,0.027684490962755114,0.7004443909517165,408.3682982349093,0.26101613344447533,81.5323887121017,4.4641043196445835,24.644675390467516,2.4583281484623667,0.34500731031246684,48.41592663447039,9.463879887236232,2.0056618351081035,0.06575519625403253,11.527697140371314,54.99999999999999,5873.472147445129,0.99,3.9
ODP0129-0801C-006R-002/119-124,0.922757849815706,6.993945350551336,0.072489695336345,0.05288103957059545,0.9598641734361735,784.5391639735082,0.28772869017800934,88.4428557434606,5.607987560833527,27.031803373567506,2.785606646193281,0.4313842445758621,49.68563373173879,8.463261635482835,2.2566045172686433,0.08396388233733111,11.458591779521049,60.0,5993.338925964416,1.51,5.23
