,Rb,Ba,Th,U,K,La,Ce,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Ti,Nb
ODP0129-0801B-043R-001/132-135,1.4758571532573623,1.3827131947148115,0.8633004666282519,0.513613618967887,0.7162415046861484,0.7467299900235559,0.7669252787974655,0.8279021464000735,0.7008581131007735,0.7389887734235023,0.83179479188636,0.8653316374836794,0.9369804116313094,0.983387871428325,1.7915060870925055,1.0142391176613157,1.214861064811525,0.7084364871637638,1.0,1.0,1.0
ODP0129-0801B-038R-001/022-025,4.565759088484631,1.7100122449059434,0.70073042634876,1.3106224782130487,3.3790500758444635,0.7478869914379624,0.7415683341907362,0.5301115933120558,0.2082353250009417,0.7056738484397244,0.9174653584152452,0.9498432505256796,0.9657392445975707,1.11008283949935,0.525540118245715,0.8561741712635916,0.9288411029236119,0.1795823289351039,1.0,1.0,1.0
ODP0129-0801B-040R-001/015-018,5.419433628178676,1.329064325777452,0.876167893982248,0.8680957494761351,2.9843001235172917,0.93596544767153,0.8772157935558019,2.719925228848166,0.5842050824023691,0.866179070762512,1.4076818731768737,0.8820538076851173,0.9011741955495819,1.1720942528970557,0.32353689651522155,1.1319315306129183,1.2288979347362783,0.2289860612992856,1.0,1.0,1.0
ODP0129-0801B-041R-001/020-025,2.316324807598053,1.1296863534168478,1.0406091777854054,0.7857935648173927,1.2355418336341053,0.802569540909711,0.8987234762541155,3.995540205434327,0.7908449178827578,0.8559933132253615,1.1187646139183383,1.2269528184539646,1.3223547726133869,0.9981621076040031,0.7138462818025726,1.2681418089281469,1.0711538985824312,0.7743353138328103,1.0,1.0,1.0
ODP0129-0801B-041R-001/026-031,1.5633681249967482,1.0782205176621447,0.7967996538770108,1.258555304445545,0.9051679464702755,0.774600999432967,0.8441352062461392,1.3270460761525615,0.8915680270590036,0.7818586803351526,0.9936986900499339,1.2157672697564963,1.1035335384659912,0.9730558755457052,0.6844403346860437,1.2793623488751102,1.074450269160629,0.8513157114139325,1.0,1.0,1.0
ODP0129-0801B-041R-001/130-136,1.8965705425063775,1.1059741380739536,1.000908643750247,0.8904977883042481,0.9889782877406484,0.8537307440822967,0.9397570953649153,4.869216172696028,0.9242281991766015,0.846432082974356,0.9952760866890584,1.2780522898953144,1.4897320699086396,0.9542574126858331,0.7849380493591925,1.168089738681368,0.9800540046646087,0.8304304760744979,1.0,1.0,1.0
ODP0129-0801B-042R-002/000-007,1.8631176506098188,1.097093458270161,0.9182783394039106,0.9062503320503005,0.865229402737092,0.9462952429418384,0.9473934173135026,3.4354023405023013,0.9801552203701783,0.898376608081323,1.1005456023172426,1.2812398017176796,1.3768118266402394,1.002283585084647,0.7956096043307748,1.2114886966808296,1.045041857157595,0.7996190648019922,1.0,1.0,1.0
ODP0129-0801B-042R-002/129-134,1.8082940532733949,1.1092145409007181,0.8324873842724414,0.7984453357603857,0.958250994025499,0.8159227008400418,0.8635029508420548,2.9704693140313605,0.9946231360173996,0.7084833032020776,1.0376612853668847,1.1847796823264825,1.177132390562937,1.0044807175256658,0.8889218826947973,1.179761863269249,1.1307492167749518,0.7481634215791532,1.0,1.0,1.0
ODP0129-0801B-043R-001/022-027,1.7978023961177185,1.4616632405320058,0.7792213742400628,0.8704167088978484,0.8470047356263223,0.7865299162564892,0.8545877786386,1.727773056971034,0.6597519956163099,0.802967547991601,1.0716907263406077,1.2179283518702373,1.1782502327599824,0.9794437692067604,1.1218020959914514,1.4114760391875631,1.06909946825302,0.5901197967293945,1.0,1.0,1.0
ODP0129-0801B-043R-001/128-134,1.5268461791752583,1.2167878914924237,0.9368144729277543,0.7892808653051843,0.7423065295315838,1.0064585868281486,0.994697461216833,1.117170335473225,0.7450586291759272,0.9191687669323395,0.9646659332311912,0.9475304933773333,1.0530626880583538,0.9241253815823766,1.319688814812678,0.9382697473398433,1.0665391678847769,0.622677312215282,1.0,1.0,1.0
ODP0129-0801B-043R-004/005-010,2.5741840791540476,1.3654959337680002,0.7688234414629723,0.7626486438414378,1.3639496284489574,0.7737924518928516,0.8615036902953106,2.9713646582325723,0.7343302680231085,0.6765869635256364,0.9776374979075413,1.2623709099270322,1.2688529383702947,1.0036073019832792,0.43110592985837703,1.332636573011319,1.117412592178619,0.630780920524332,1.0,1.0,1.0
ODP0129-0801B-044R-001/018-024,2.2836830426617714,1.2105419200429017,0.7921307993517479,0.9311033399949976,1.3341080913690748,0.8794105724935315,0.9758002828134925,4.273319694954564,0.8861151739846955,0.8955438039636653,1.0303494639523587,1.166171902572677,1.4179676641963146,0.9561018071142231,0.38292178264095655,1.388040701600442,1.0562580728140438,0.969153279439562,1.0,1.0,1.0
ODP0129-0801B-044R-001/107-113,3.581499589513054,1.5307681758779343,0.8370639231128675,0.6426573714681038,2.7999351913693102,0.8276442091671765,0.8310951903911742,0.5544012048537611,0.41769562231260327,0.698307380583675,1.0789742960559097,1.1405244712675926,0.9825324925464878,1.0797054643533417,0.38188535732071677,1.1825464742535312,1.1666655327541127,0.3848895090085638,1.0,1.0,1.0
ODP0129-0801B-044R-002/027-032,3.000843559067546,1.6356677943180455,0.7801651581516855,2.1663403291807795,2.629377843067412,0.8390497682521872,0.9433342878313355,3.6510367830287906,0.5692590359835918,0.8408044557557286,1.0495312057570774,1.2387264979303338,1.4240573403000378,1.0962335430834032,0.3613479243369171,1.1136266526481908,1.0607268797518936,0.3526067629413373,1.0,1.0,1.0
ODP0129-0801B-044R-003/028-033,2.0389429261718517,1.20550621830558,0.8040310719419078,0.9284156163327981,0.9779936544859161,0.7990063900432075,0.8500868998565304,5.019708139502316,0.9390795414584943,0.8949569810827146,1.07601725763876,1.3569637794301626,1.3222441769935422,1.0048748943032204,0.5973901488123963,1.3859590807344913,1.0768094269469477,0.7534494626142662,1.0,1.0,1.0
ODP0129-0801C-001R-001/014-020,1.6532989113616683,1.0265990514404109,0.8866191658883652,0.8146826683181159,0.8276125233438111,0.9628918766786991,1.010353710153762,0.5022065296606657,0.8751516521580784,0.9469949445868853,1.0195420178441186,1.068447965587156,1.2327019822648917,0.9300877138897965,1.5084897860123636,0.8569686036613333,1.0945030894094203,0.6926089815977828,1.0,1.0,1.0
ODP0129-0801C-001R-001/109-114,1.7634140658109088,1.2462842775822298,0.8631021494238488,0.8674638189234174,0.7473192285689491,0.8381144559501683,0.840166109610834,0.44686356416825,0.6220263835626569,0.8619427031684855,1.0134176751945634,1.101878181316968,1.0262890442350687,0.9553687124047358,1.3549463760861593,1.178990674507525,1.1183292753920755,0.6233444175774292,1.0,1.0,1.0
