,DataBase,SAMPLE_INFO
ODP0129-0801B-043R-001/132-135,No_database_info,No_database_info
ODP0129-0801B-038R-001/022-025,No_database_info,No_database_info
ODP0129-0801B-040R-001/015-018,No_database_info,No_database_info
ODP0129-0801B-041R-001/020-025,No_database_info,No_database_info
ODP0129-0801B-041R-001/026-031,No_database_info,No_database_info
ODP0129-0801B-041R-001/130-136,No_database_info,No_database_info
ODP0129-0801B-042R-002/000-007,No_database_info,No_database_info
ODP0129-0801B-042R-002/129-134,No_database_info,No_database_info
ODP0129-0801B-043R-001/022-027,No_database_info,No_database_info
ODP0129-0801B-043R-001/128-134,No_database_info,No_database_info
ODP0129-0801B-043R-004/005-010,No_database_info,No_database_info
ODP0129-0801B-044R-001/018-024,No_database_info,No_database_info
ODP0129-0801B-044R-001/107-113,No_database_info,No_database_info
ODP0129-0801B-044R-002/027-032,No_database_info,No_database_info
ODP0129-0801B-044R-003/028-033,No_database_info,No_database_info
ODP0129-0801C-001R-001/014-020,No_database_info,No_database_info
ODP0129-0801C-001R-001/109-114,No_database_info,No_database_info
ODP0129-0801C-001R-005/033-038,No_database_info,No_database_info
ODP0129-0801C-002R-001/112-118,No_database_info,No_database_info
ODP0129-0801C-002R-003/114-119,No_database_info,No_database_info
ODP0129-0801C-002R-004/071-076,No_database_info,No_database_info
ODP0129-0801C-005R-001/103-105,No_database_info,No_database_info
ODP0129-0801C-005R-002/087-089,No_database_info,No_database_info
ODP0129-0801C-005R-003/038-043,No_database_info,No_database_info
ODP0129-0801C-005R-003/125-131,No_database_info,No_database_info
ODP0129-0801C-006R-002/029-034,No_database_info,No_database_info
ODP0129-0801C-006R-002/119-124,No_database_info,No_database_info
ODP0129-0801C-006R-003/037-042,No_database_info,No_database_info
ODP0129-0801C-007R-001/053-058,No_database_info,No_database_info
ODP0129-0801C-007R-001/099-105,No_database_info,No_database_info
ODP0129-0801C-007R-003/000-005,No_database_info,No_database_info
ODP0129-0801C-007R-004/077-083,No_database_info,No_database_info
