,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Hf,Hg,Ho,I,Ir,K,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,Os,P,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr,IGSN,EXPEDITION ID,REFERENCES,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,TECTONIC SETTING,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2O_M,H2O_P,SO2,SO3,V2O3,V2O5,ZnO,CoO,La2O3,Ce2O3,O,FeS2,S_SLFI,SLFA,C_NON_CARB,CaCO3,CuO,Cu2O,Dy2O3,FeCO3,Gd2O3,HfO,HfO2,MgCO3,MnCO3,Nb2O3,Nb2O5,Nd2O3,Sc2O3,Sm2O3,Ta2O5,ThO,ThO2,UO2,WO3,Y2O3,ZrO2,S_PY,TOC,Ag.1,Al.1,As.1,Ca.1,Cd.1,Co.1,Cu.1,GER,INDIUM,Mg.1,Mn.1,Ni.1,OS_INI,Pa,S.1,Si.1,Zn.1,Zr2O3,Ti.1,As.2,As.3,GER.1,H2O_M.1,H2O_P.1,H2O_M.2,H2O_P.2,INDIUM.1,area,depth_start,depth_end,depth_mean,Depth,Unnamed: 0.1,Top Depth (m),Bottom Depth (m),Sample Pair,Sample Pair ID,TFe2O3,TOTAL,Ge,Coment,T Dep,B Dep,vesicles (%),Total Secondary mineral (%),Celadonite(%),Saponite (%),Fe-OX (%),Carbonate (%),Chalcedony (%),Zeolite (%),Quartz (%),CaO*,CIA*,CIA,SAMPLE_INFO,Depth_to_basement,Core_Site,Core_hole,DataBase
ODP0129-0801B-043R-001/132-135,,,,,,174.68879668049792,,,,,,,79.41176470588236,,,1.2553191489361701,,18.07086614173228,13.474320241691842,31.551724137931036,,,4.0535279805352795,45.872420262664164,,15.035335689045937,,,12.892565498736506,92.40506329113924,16.4968152866242,11.417322834645669,,,,,,100.99571144426123,53.31905781584582,,,3.4837509310500856,0.7692307692307692,,65.26315789473685,,15.77586206896552,,,,,,,,,34.64052287581699,,48.209366391184574,187.14285714285714,143.31550802139037,,66.92675110129623,32.59298921535705,,,90.375,,,15.159235668789808,11.294117647058822,,60.723514211886304,,ODP0129,"ANDERSEN, 2015; HAUFF, 2003; KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN; MC-ICP-MS; MS-ID,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,ALKALI BASALT,,47.3,2.42,13.54,,12.51,,,,,0.153,11.16,6.85,,3.22,1.61,0.512,,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.4,35.5,,,,,310.0,,,,,90.5,,,,,,,,,,,Northwest,132.0,135.0,133.5,493.52,,,,,,,,,,,,,,,,,,,,,6.848917883108832,40.98751227185929,40.98995360167667,No_database_info,31.519999999999985,801,801,No_database_info
ODP0129-0801B-038R-001/022-025,,,,,,189.6265560165975,,,,,,,70.26143790849673,,,7.074468085106384,,,,22.75862068965517,,,,39.305816135084434,,,,,46.44526701408182,85.65400843881858,,9.448818897637794,,,,,,106.51570745709544,44.9678800856531,,,2.449512373394591,0.4048582995951417,,,,35.3448275862069,,,,,,,,,27.254901960784313,,14.049586776859504,176.42857142857144,16.310160427807485,,69.4645273725298,35.960033555786495,,,147.5,,,12.738853503184712,9.941176470588234,,50.12919896640827,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,51.45,2.67,18.62,,5.97,,0.61,,,0.04,4.69,2.0,,2.04,5.8,0.36,,5.67,,,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,64.0,,,,,67.0,,,162.0,,93.0,,,,,,,4.81,,4.81,,Northwest,22.0,25.0,23.5,466.32,,,,,,,,,,,,,,,,,,,,,1.9992391365608968,58.38793577329562,58.39046876682275,No_database_info,4.319999999999993,801,801,No_database_info
ODP0129-0801B-040R-001/015-018,,,,,,182.1576763485477,,,,,,,96.5686274509804,,,17.606382978723403,,,,37.41379310344827,,,,34.146341463414636,,,,,47.08589138668985,127.00421940928271,,9.84251968503937,,,,,,174.89267062001042,59.95717344753747,,,4.286646653440536,2.42914979757085,,,,47.41379310344828,,,,,,,,,44.96732026143791,,43.66391184573003,226.42857142857142,24.86631016042781,,108.25233201037574,44.4449852936687,,,97.5,,,21.019108280254777,10.823529411764705,,39.53488372093023,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,51.58,3.3,17.42,,9.02,,0.75,,,0.12,2.75,2.63,,2.91,5.88,0.63,,2.68,,,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,37.0,,,,,82.0,,,105.0,,111.0,,,,,,,2.72,,2.72,,Northwest,15.0,18.0,16.5,477.05,,,,,,,,,,,,,,,,,,,,,2.62866848898157,52.228522973752,52.23231425134216,No_database_info,15.050000000000011,801,801,No_database_info
ODP0129-0801B-041R-001/020-025,,,,,,185.8921161825726,,,,,,,133.59477124183007,,,2.5,,27.559055118110237,20.302114803625376,46.37931034482758,,,39.1727493917275,70.35647279549718,,21.554770318021202,,,24.103492019376944,167.13080168776372,,17.322834645669293,,,,,,212.13346239189056,83.6830835117773,,,4.6948987156729665,3.643724696356275,,98.52631578947367,,26.724137931034484,,,,,,,,,53.72549019607844,,66.94214876033058,249.2857142857143,,,105.06790880058416,47.94671140771533,,,130.0,,,22.929936305732483,16.588235294117645,,79.58656330749353,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.33,3.56,15.14,,4.27,,5.57,,,0.14,4.52,7.71,,3.88,3.01,0.69,,4.67,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,28.0,,,251.0,,101.0,,,,,,,1.54,,1.54,,Northwest,20.0,25.0,22.5,484.7,,,,,,,,,,,,,,,,,,,,,7.708541678408387,39.02143904609666,39.0241059393416,No_database_info,22.69999999999999,801,801,No_database_info
ODP0129-0801B-041R-001/026-031,,,,,,171.78423236514521,,,,,,,104.24836601307189,,,1.5425531914893615,,,,39.99999999999999,,,,55.534709193245774,,,,,17.136701967264674,128.69198312236287,,12.598425196850394,,,,,,156.7270743040395,66.38115631691649,,,4.218604643068463,1.214574898785425,,,,16.810344827586206,,,,,,,,,47.58169934640523,,71.34986225895317,226.42857142857142,27.540106951871657,,104.96048844179779,44.57966706728588,,,174.99999999999997,,,20.38216560509554,13.588235294117647,,70.28423772609818,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,45.77,3.31,16.03,,4.76,,4.72,,,0.14,5.2,8.25,,3.81,2.14,0.62,,5.09,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,44.0,,,,,46.0,,,358.0,,90.0,,,,,,,2.0,,2.0,,Northwest,26.0,31.0,28.5,483.26,,,,,,,,,,,,,,,,,,,,,8.248689624077102,40.465299196977554,40.467733059100176,No_database_info,21.25999999999999,801,801,No_database_info
ODP0129-0801B-041R-001/130-136,,,,,,175.10373443983403,,,,,,,121.17647058823529,,,2.0744680851063833,,25.19685039370079,18.791540785498487,42.58620689655172,,,35.182481751824824,60.0375234521576,,20.141342756183743,,,20.90037015633682,153.1645569620253,,17.322834645669293,,,,,,187.7852438020332,75.95289079229121,,,4.150562632696391,4.048582995951417,,91.05263157894737,,22.413793103448278,,,,,,,,,48.431372549019606,,70.52341597796143,230.71428571428572,,,108.60224602927796,43.63689465196563,,,126.25,,,20.38216560509554,15.294117647058822,,73.64341085271317,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.08,3.24,15.8,,4.28,,5.79,,,0.15,4.86,7.64,,3.71,2.61,0.61,,4.71,,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,45.0,,,250.0,,90.0,,,,,,,1.55,,1.55,,Northwest,130.0,136.0,133.0,484.3,,,,,,,,,,,,,,,,,,,,,7.638710759172631,40.91219063936098,40.91467406265642,No_database_info,22.30000000000001,801,801,No_database_info
ODP0129-0801B-042R-002/000-007,,,,,,156.43153526970954,,,,,,,106.12745098039217,,,1.5425531914893615,,22.362204724409448,16.37462235649547,38.275862068965516,,,32.01946472019465,54.409005628517825,,18.021201413427562,,,15.695297128896616,136.87763713080167,,14.960629921259843,,,,,,171.11531024580188,67.25910064239828,,,3.674268560091888,3.2388663967611335,,78.73684210526316,,18.10344827586207,,,,,,,,,43.26797385620915,,78.7878787878788,197.1428571428571,,,106.74736127594525,38.92303257536441,,,125.0,,,18.471337579617835,13.29411764705882,,62.7906976744186,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.91,2.89,17.42,,4.63,,4.68,,,0.14,6.5,8.36,,3.43,1.96,0.54,,2.93,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,69.0,,,276.0,,72.0,,,,,,,1.97,,1.97,,Northwest,0.0,7.0,3.5,489.05,,,,,,,,,,,,,,,,,,,,,8.358858704841346,43.135645476483205,43.13786207327448,No_database_info,27.05000000000001,801,801,No_database_info
ODP0129-0801B-042R-002/129-134,,,,,,146.88796680497924,,,,,,,95.42483660130719,,,1.276595744680851,,,,36.03448275862068,,,,49.71857410881801,,,,,14.574204476832572,116.45569620253166,,11.811023622047244,,,,,,150.2613696548371,53.533190578158454,,,3.8103525808360312,2.8340080971659916,,210.52631578947367,,16.379310344827587,,,,,,,,,43.26797385620915,,76.99724517906337,199.99999999999997,23.796791443850267,,88.15736869335217,39.32707789621595,,,111.25,,,17.8343949044586,12.823529411764707,,60.206718346253226,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.33,2.92,16.96,,4.04,,5.7,,,0.14,7.18,8.06,,3.26,1.82,0.56,,2.85,,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,39.0,,,,,92.0,,,298.0,,71.0,,,,,,,2.09,,2.09,,Northwest,129.0,134.0,131.5,490.34,,,,,,,,,,,,,,,,,,,,,8.058816434650286,43.54571187245634,43.548118024891615,No_database_info,28.33999999999997,801,801,No_database_info
ODP0129-0801B-043R-001/022-027,,,,,,205.3941908713693,,,,,,,94.44444444444444,,,1.8617021276595744,,,,36.37931034482758,,,,51.407129455909946,,,,,15.214828849440599,114.34599156118145,,11.811023622047244,,,,,,145.32540657796312,59.95717344753747,,,3.7423105704639594,1.6194331983805668,,,,17.24137931034483,,,,,,,,,43.4640522875817,,52.892561983471076,195.0,24.06417112299465,,81.70666587154895,39.5964414434503,,,118.74999999999999,,,17.8343949044586,12.470588235294118,,63.04909560723514,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,45.88,2.94,15.23,,4.7,,5.7,,,0.13,8.28,6.21,,4.02,1.9,0.55,,4.58,,,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,39.0,,,,,163.0,,,379.0,,86.0,,,,,,,4.17,,4.17,,Northwest,22.0,27.0,24.5,492.24,,,,,,,,,,,,,,,,,,,,,6.208837569745815,43.27841414493204,43.28101357249557,No_database_info,30.24000000000001,801,801,No_database_info
ODP0129-0801B-043R-001/128-134,,,,,,153.94190871369292,,,,,,,91.29084967320262,,,1.4893617021276597,,19.330708661417322,14.259818731117823,32.58620689655172,,,27.10462287104623,45.0281425891182,,15.017667844522968,,,11.69139480009646,116.28691983122363,,12.598425196850394,,,,,,146.51959301078523,58.179871520342616,,,3.129932477115312,0.8097165991902834,,664.2105263157895,,13.793103448275863,,,,,,,,,37.124183006535944,,51.239669421487605,169.28571428571428,,,93.11300813589597,33.40107985706012,,,96.25,,,15.92356687898089,11.588235294117647,,53.746770025839794,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,44.43,2.48,13.11,,5.73,,5.72,,,0.15,10.58,6.59,,2.76,1.46,0.46,,6.16,,,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,375.0,,,1388.0,,89.0,,,,,,,3.27,,3.27,,Northwest,128.0,134.0,131.0,493.48,,,,,,,,,,,,,,,,,,,,,6.589027785605591,42.00223081925516,42.00460968878252,No_database_info,31.480000000000015,801,801,No_database_info
