,Rb,Ba,Th,U,Nb,K,La,Ce,Pb,Sr,Nd,Zr,Ti,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO
ODP0129-0801B-043R-001/132-135,39.755571452766574,35.04497133473451,,6.8979892382396315,,5.303146074785499,0.12287251782491992,0.3214753587812744,8.745582562116127,-3.9994808636897474,-3.685097639974419,,,-2.735229756767935,-2.4179306688871476,-2.348461559138625,-0.3259460940343146,4.9954021137048095,0.24649456166415806,0.036385020279014746,-2.2153906179776666
ODP0129-0801B-038R-001/022-025,114.50677103348985,43.290786394534564,,29.181281483843286,,79.72219381338137,-0.26364637001763214,-2.250023750423349,-3.3930849186858065,-16.55452046757241,-5.6478375123893905,,,-1.6100299029088232,-0.8463314603688579,-0.9382369708828997,4.813153103195432,-1.4333850193853008,-0.6303026716971889,-0.06862212700055648,-8.146656145041959
ODP0129-0801B-040R-001/015-018,147.35728786335912,21.64660976561759,,-2.927450813781384,,75.39440447336234,-1.7489732379382232,-1.6723721263442002,62.495145315678414,-13.29029495146684,-2.176511846951577,,,2.4625264511568057,0.5315634968598268,0.35444044262256424,7.343169720070264,-6.753695791276575,0.3710868714134765,0.240943511100625,-8.949603344404668
ODP0129-0801B-041R-001/020-025,63.0594005366327,18.07776264272583,,1.8478481827736175,,11.234373111934495,5.809912735191119,2.587178697415375,98.49536751834883,-8.185062576767333,-1.6149857199936832,,,-0.6045220994164939,0.8404842565488915,1.5205855376813897,-0.8953481585420136,-2.2156327552686594,0.7215045370811151,0.03810156607978543,-1.7444426458100244
ODP0129-0801B-041R-001/026-031,33.014069440170914,22.063392515498442,,21.712917694654855,,1.131931962634944,-2.4334323132275557,-0.9053780064292312,19.400187717421268,-1.5328572795175255,-4.468686575345458,,,0.11947243336728874,-0.004989951160403905,-0.20566229710284212,-0.8426512013964853,-2.7531285784554065,1.015360636251934,0.07275180908022028,-1.2940885332310348
ODP0129-0801B-041R-001/130-136,49.73456902088981,14.226816635502885,,2.3515570352025463,,3.6360688662035585,3.924990431299541,2.4624720224105374,114.77079024400877,-6.50084271775393,-1.4968960082310794,,,-0.4618829681893173,0.8247932762259111,1.7002717245238879,-0.46506792454919577,-2.0210748421495843,0.7769851154093077,0.006832899025956851,-1.4655908233449937
ODP0129-0801B-042R-002/000-007,36.86177709452173,9.418708104518728,,0.9039553270339127,,0.5677908561540619,-1.0315110254595723,-1.705568727793903,86.50802057094704,-2.628856796419786,-4.649291195810157,,,0.05807835672901085,0.40577910647678817,0.9227408502863499,1.5308020977048145,-0.19030895098944622,0.6312891775758764,-0.05332046816704139,-2.274566397792121
ODP0129-0801B-042R-002/129-134,33.957070459664536,14.582180905786323,,7.941431570907248,,4.166266364327747,2.8399312935654635,0.3138966838315511,76.1595689409086,1.3079779997768632,-6.354837632850899,,,-0.728972023828117,-0.1137115100743209,0.01705811667431334,-0.40401882105991405,1.5686492395941087,0.2618863362805097,0.06950079288278288,-2.077253657067816
ODP0129-0801B-043R-001/022-027,38.99605325311911,36.33973683406697,,10.852223077153852,,4.9666941928713655,3.94436211475071,0.8357686944492677,34.4961087741482,-6.528381677188005,-4.222625580808948,,,-2.0782791639164264,-1.0600105113811917,-1.3397306577981016,-2.3863202371293752,3.289608747040602,0.8942567657539384,0.05720982460576979,-3.5092113223653856
ODP0129-0801B-043R-001/128-134,25.52011139456871,15.716883406074906,,-0.43353865938983205,,-3.0966895601370155,3.3595713319710825,-0.40741680383169765,2.86850288970815,-5.77541684010701,-2.8964046448765757,,,-0.17612627053077645,-0.23009594760460672,0.1717903498995348,-1.6542688733986637,0.6026574767667618,0.010461600801667803,-0.009266916415549886,-3.8870859242508384
ODP0129-0801B-043R-004/005-010,69.8177204083793,30.667188966269045,,0.5116294880001249,,28.352404893684646,3.9676445131470857,1.0529325672317071,62.882478273544166,-4.411803654334783,-8.20917465554395,,,-2.9863313244452865,-1.3019240537817796,-2.028621262058503,-1.0883884858383794,-1.219800971846209,0.6473180688367512,0.003800806042168481,-2.925373571331548
ODP0129-0801B-044R-001/018-024,48.74092924827022,10.097391584813764,,-3.1258514399766923,,12.022431573259638,-1.3797280618964294,-1.701854336569589,102.38731675207458,-7.515898470619462,-3.856108061466159,,,0.8614216261593644,0.9680040234470937,1.4323625178947355,-1.0303454181513203,-5.921494841006037,1.2954929217712214,-0.00150293601108209,-0.36066301760744146
