,Rb,Ba,U,K,La,Ce,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Th,Ti,Nb
ODP0129-0801B-043R-001/132-135,3.223189456001806,2.391085008117607,1.2505573325892858,1.2325671287924524,1.0038694086650013,1.0118806186364808,1.485461663844651,0.8057293411115034,0.8330650628374312,0.6566369439605488,0.6169586866492052,0.6252881778343085,0.9931561234838095,1.8103370578006919,1.082896960095056,1.0765009972990331,0.7556210524911852,1.0,1.0,1.0,1.0
ODP0129-0801B-038R-001/022-025,8.828405560168507,2.959064664198193,2.0804202717186886,4.703102270184887,0.991156488927972,0.9150144737488178,0.8058608459180754,0.22601354684945962,0.7330566523644714,0.7319134294761489,0.8019963882688689,0.77562085126858,1.1032049425177846,0.7659162350811657,0.7639583413603891,0.839900642832498,0.19710927141029372,1.0,1.0,1.0,1.0
ODP0129-0801B-040R-001/015-018,6.6958352644034695,1.5258322124161834,0.926942143370865,3.7664789406354733,0.9616138874530696,0.9521744135558081,3.8391530948992005,0.5306103384045702,0.9047727623817655,1.5140736832713846,1.1660778847551394,1.117211546715814,1.1659967423887028,0.28936111386522073,1.1461597355322157,1.6193021270053725,0.2271234965289922,1.0,1.0,1.0,1.0
ODP0129-0801B-041R-001/020-025,2.823664777173321,1.392798721844851,1.038758488152039,1.2719447116703044,1.112059743369285,1.0595098564233902,4.484687245737465,0.7378115127913656,0.947010757837849,0.9290184593870221,1.1722446089973328,1.3436071635751132,0.981040941073929,0.6710579635542665,1.2284329819534854,1.0584470894502083,0.8154896368657841,1.0,1.0,1.0,1.0
ODP0129-0801B-041R-001/026-031,2.1623340812990492,1.593539929485593,1.4830057156784258,1.0312463290243172,0.9480361788251873,0.975430078857865,1.8488996930965502,0.9412307022400056,0.8366935661509257,1.0172810481943828,0.9989361779778997,0.9545998003327328,0.9819222640275128,0.6538307470705953,1.3633243879060553,1.1329411595823526,0.8644094164963768,1.0,1.0,1.0,1.0
ODP0129-0801B-041R-001/130-136,2.5467040207408407,1.3082481259261247,1.051407254088631,1.0867243442533734,1.080243602384144,1.0626299390332414,5.401685855110528,0.7887021117090945,0.9459474582696542,0.9383732872414985,1.185386780736054,1.40047154723859,0.9900082233137336,0.7062850080092692,1.264910048527673,1.0113283682331522,0.839044950319149,1.0,1.0,1.0,1.0
ODP0129-0801B-042R-002/000-007,2.258942401265766,1.2115460698164173,1.0193503915476252,1.016874452677686,0.9786221123438195,0.9554648282739115,4.305866032167856,0.9115989966777236,0.83304291583257,1.0091960913880507,1.0971135280184714,1.219053770347491,1.0337335644627468,0.9715545347182657,1.2255642749932558,0.9101320938214629,0.7861157368612272,1.0,1.0,1.0,1.0
ODP0129-0801B-042R-002/129-134,2.3118207902831105,1.4042874693083247,1.2305906523702541,1.150921608216119,1.0760667196993035,1.0096324225696374,4.395133543097443,1.0519349818683674,0.7439490866470684,0.8940881474694949,0.974929214725482,1.0042254480655695,0.9913549309207311,1.2795493111324665,1.087350369483861,1.1416939963904444,0.7950871382586417,1.0,1.0,1.0,1.0
ODP0129-0801B-043R-001/022-027,2.625101477648259,2.0537580141413416,1.3156012162890782,1.176113711071185,1.1111009418649167,1.0263419984246582,2.5793533594971865,0.735986284408653,0.8304309022842217,0.7475403879685732,0.8022447164055161,0.7516158450198774,0.9505593087393956,1.6591885446035521,1.2860941218575928,1.1160936793433476,0.6389407323318348,1.0,1.0,1.0,1.0
ODP0129-0801B-043R-001/128-134,2.025992308207923,1.4206139017847683,0.9883143865221321,0.891663268982538,1.0913998034303019,0.9872216931317687,1.1133772700330986,0.7532479332162422,0.8738657626682477,0.9689406264013248,0.9455528121479964,1.0413700046664474,0.9641033933305263,1.0604026047380266,1.0038048571370082,0.9802523551280062,0.6289916917400118,1.0,1.0,1.0,1.0
ODP0129-0801B-043R-004/005-010,4.0229793835158185,1.9018204840061201,1.0136131017472758,1.986787342333461,1.108276279883096,1.03248603109511,3.907918898701011,0.8153321207946725,0.6834642728293795,0.6809460661279986,0.7840238000434088,0.6937105318678797,0.9774606583494172,0.745864259997218,1.2027505660737403,1.0064838131497702,0.6776580546973193,1.0,1.0,1.0,1.0
ODP0129-0801B-044R-001/018-024,2.543703072284763,1.2310540043317997,0.9353681480797359,1.3059050263252636,0.9719463497002422,0.957182741887981,5.200807480181238,0.7554902660243255,0.8631810745819268,1.1395795654698015,1.2291299871192873,1.36052027588159,0.9775525563312238,0.3091642763783043,1.477247943894305,0.9973702042170209,0.9629354118054618,1.0,1.0,1.0,1.0
ODP0129-0801B-044R-001/107-113,4.347529208452725,1.82340760638185,0.8558422807261935,3.238828930599972,1.0755736070688209,0.9633697894440031,0.6653895367552832,0.4654826909640323,0.7631816841472269,1.03356022747661,1.0181797699083828,0.9804947522444938,1.0342190766539296,0.46114136549636725,1.119371159749376,1.394365589504641,0.40770392507400616,1.0,1.0,1.0,1.0
ODP0129-0801B-044R-002/027-032,3.708622729428386,1.9125427202112644,2.2827608196965596,2.771867407731072,0.9478239141246417,0.9496192237327721,4.809613347992189,0.524568956607648,0.8496138718951348,1.0838565721110913,1.1983487853357793,1.3169857436963988,1.1174113016370704,0.35927137737148523,1.1605722685943298,0.9688216271028037,0.352955903446873,1.0,1.0,1.0,1.0
ODP0129-0801B-044R-003/028-033,2.790431927113984,1.6230200469175302,1.2593741923576451,1.2987876829681577,1.051193705109811,1.0047523212949172,6.733462947980766,0.9934014475106112,0.8921873074171586,0.8648873257876711,1.0108549053175029,0.9829639082718189,0.9997492610344135,0.7955241725299362,1.2994394718101256,0.9605711309276644,0.8022860906437821,1.0,1.0,1.0,1.0
ODP0129-0801C-001R-001/014-020,2.0693623913248675,1.1607521779189736,1.0821695316129558,0.9598722109402703,1.0908284723323445,1.0263020724459109,0.5969566885588716,0.9590766690524022,0.8900908345579038,1.0323019487456246,1.0104835879667178,1.1508620056553422,0.9634785804549716,1.4182763315147506,0.9232823300767344,1.0678721249534016,0.693219136944058,1.0,1.0,1.0,1.0
ODP0129-0801C-001R-001/109-114,2.258759975621952,1.742362070745455,1.4504692350491066,1.0634464872089788,1.0432602023026891,0.9775130796066409,0.670944869705248,0.6862557996435713,0.8625803531145462,0.8785316580752119,0.8813890501154088,0.8691571031585662,0.9627850667681771,1.2609719137520072,1.1790061351778511,1.1720754568491567,0.6583327684687962,1.0,1.0,1.0,1.0
