,Rb,Ba,U,K,La,Ce,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Th,Ti,Nb
ODP0129-0801B-043R-001/132-135,17.882223822823978,25.19254476198891,27.530582190331792,22.802646712460085,31.754856739816997,27.058806331359573,18.014980818165565,20.58715858880823,22.075053326828183,7.965998987537166,6.312453995459156,6.267380478057544,47.62594609403431,6.164597886295191,2.973505438335842,0.47561497972098526,9.065390617977666,20.982142857142858,22.83383272867754,11.156830923718374,34.84564518273249
ODP0129-0801B-038R-001/022-025,14.627087234226671,22.097681197395616,27.009194706632897,21.528488277317013,29.812409106553293,26.475375863099405,17.47759196093933,21.388643690321224,21.15743869407329,6.005634298513219,4.274323346778594,4.181480214126143,46.63684689680457,6.123385019385301,2.670302671697189,0.42862212700055646,10.146656145041959,17.321428571428573,23.699662280039576,12.309396101788455,36.750159936108666
ODP0129-0801B-040R-001/015-018,25.871058593333807,41.16638207870921,40.07030795663852,27.252838749621528,45.562655916249724,34.96814677423153,22.011896937842724,28.313991633931295,22.855980089196773,4.790220801590447,3.2006880244383478,3.0239379357558143,44.236830279929734,9.503695791276575,2.5389131285865236,0.389056488899375,11.579603344404667,13.660714285714286,36.93314856824584,15.213860350525056,60.341650732850724
ODP0129-0801B-041R-001/020-025,34.57839473895785,46.02296707540266,47.67596134103591,41.311239490307244,51.8465647029457,43.47479313357054,28.265195861932863,31.21823793221757,30.477614966670195,8.516610011504406,4.879596879353745,4.425360408264557,47.22534815854201,6.735632755268659,3.158495462918885,0.6518984339202145,9.454442645810024,27.5,35.84669829666989,16.41252813571794,73.19050736101694
ODP0129-0801B-041R-001/026-031,28.403253394474753,37.17254967937922,44.9537489720118,36.22607832600204,46.82935662181561,36.849039978260215,22.8533334093393,26.082620312692878,27.363812129259784,6.913494599599744,4.6905883284423515,4.529986621427167,46.61265120139649,7.953128578455407,2.794639363748066,0.5472481909197797,9.544088533231035,24.28571428571429,35.810048997789835,15.25996295764786,54.074137838420356
ODP0129-0801B-041R-001/130-136,32.15519475863775,46.153781447198504,45.74368106003555,41.92673807461071,48.91343751629871,39.31780966773031,26.074280178526468,30.766245561355824,27.693350956532406,7.49485000115635,4.449040395173683,4.245674221422059,46.545067924549194,6.881074842149585,2.9330148845906923,0.6031671009740431,9.105590823344993,25.446428571428573,37.05253099822424,14.937244707788237,64.78985971290346
ODP0129-0801B-042R-002/000-007,29.279955188942836,44.52320060917422,46.7150922920137,33.64795688484056,48.25130724088897,38.29711802356855,26.168035767081133,29.737861535756277,27.84722324898593,6.315548016897363,4.178399392509013,4.212394284848785,45.37919790229518,6.690308950989446,2.7987108224241237,0.5933204681670414,10.63456639779212,21.696428571428573,36.41968796473426,13.323653458490124,59.03838193613922
ODP0129-0801B-042R-002/129-134,25.88544922537483,36.06884213041342,34.43952081004513,27.60549939516726,37.3347411955175,32.58751176687267,22.43198035486605,25.1849129954838,24.81864856342697,6.882818177674271,4.535618203786289,4.036995937379741,46.73401882105991,5.611350760405891,2.99811366371949,0.4904992071172172,10.137253657067816,20.80357142857143,30.07721990714368,13.461961279858535,51.843333709803545
ODP0129-0801B-043R-001/022-027,23.996072731132863,34.485846225025895,34.38587216094138,28.201632698909137,35.50250833648655,31.727611587240876,21.84191939486589,24.727433809889426,24.902093823054145,8.23212531776258,5.3602133511377845,5.393784711852156,48.26632023712938,4.990391252959397,3.125743234246061,0.49279017539423026,9.719211322365386,21.78571428571429,27.87639188558729,13.554166494104141,50.14032260614155
ODP0129-0801B-043R-001/128-134,24.873589392832862,37.366533391750245,37.100205326056496,28.583930224347295,36.75687699408422,31.883473141859866,25.300511194798894,23.40574859366151,22.96287436422665,5.670631765036271,4.226039152472761,4.15253397442479,46.08426887339866,9.977342523233238,2.749538399198332,0.4692669164155499,10.477085924250838,18.571428571428573,31.767967481658623,11.433446566455194,50.55234204860192
