,Rb,Ba,U,K,La,Ce,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Th,Ti,Nb
ODP0129-0801B-043R-001/132-135,11.355212127493227,176.07069534154047,0.5781422259969676,5700.6616781150215,21.81558658025428,48.02938123816324,1.279063638089755,434.38904622385365,29.889622204525363,36.2452953932941,3.112039819761364,0.4637861553762582,47.62594609403431,6.164597886295191,2.973505438335842,0.47561497972098526,9.065390617977666,235.0,1.940875781937591,14503.880200833886,24.844945015288264
ODP0129-0801B-038R-001/022-025,9.288200393733936,154.44069388859796,0.5671930888392909,5382.1220693292535,20.481125056202114,46.993792157001444,1.2409090292266922,451.30038186577787,28.647171991775235,27.325636058235148,2.107241409961847,0.30942953584533456,46.63684689680457,6.123385019385301,2.670302671697189,0.42862212700055646,10.146656145041959,194.0,2.014471293803364,16002.21493232499,26.20286403444548
ODP0129-0801B-040R-001/015-018,16.428122206766968,287.7118443480987,0.841476467089409,6813.209687405382,31.301544614463563,62.068460524260956,1.5628446825868334,597.4252234759504,30.946997040772434,21.795504647236534,1.5779391960481055,0.22377140724593025,44.236830279929734,9.503695791276575,2.5389131285865236,0.389056488899375,11.579603344404667,153.0,3.139317628300897,19778.018455682573,43.02359697252256
ODP0129-0801B-041R-001/020-025,21.957280659238233,321.65451688998917,1.0011951881617542,10327.80987257681,35.6185899509237,77.16775781208771,2.0068289061972333,658.7048203697908,41.26669066487145,38.75057555234505,2.4056412615213962,0.32747667021157717,47.22534815854201,6.735632755268659,3.158495462918885,0.6518984339202145,9.454442645810024,308.0,3.046969355216941,21336.28657643332,52.184831748405074
ODP0129-0801B-041R-001/026-031,18.03606590549147,259.7989497091814,0.9440287284122479,9056.51958150051,32.17176799918733,65.40704596141188,1.6225866720630902,550.3432885978198,37.05060162301775,31.456400428178835,2.312460045922079,0.33521900998561033,46.61265120139649,7.953128578455407,2.794639363748066,0.5472481909197797,9.544088533231035,272.0,3.043854164812136,19837.951844942218,38.55486027879371
ODP0129-0801B-041R-001/130-136,20.41854867173497,322.56877853447037,0.9606173022607466,10481.684518652677,33.60353157369721,69.7891121602213,1.8512738926753791,649.1677813446079,37.49679719514488,34.10156750526139,2.1933769148206257,0.3141798923852323,46.545067924549194,6.881074842149585,2.9330148845906923,0.6031671009740431,9.105590823344993,285.0,3.149465134849061,19418.41812012471,46.19516997530017
ODP0129-0801B-042R-002/000-007,18.5927715449787,311.1726490575186,0.9810169381322877,8411.98922121014,33.14864807449072,67.97738449183417,1.8579305394627603,627.4688784044575,37.70514027912695,28.735743476883002,2.0599509005069434,0.3117171770788101,45.37919790229518,6.690308950989446,2.7987108224241237,0.5933204681670414,10.63456639779212,243.0,3.0956734770024124,17320.749496037162,42.09436632046726
ODP0129-0801B-042R-002/129-134,16.437260258113017,252.0851376494594,0.7232299370109478,6901.374848791816,25.648967201320527,57.84283338619899,1.5926706051954893,531.4016642047083,33.60445015488012,31.316822708417934,2.23605977446664,0.29873769936610084,46.73401882105991,5.611350760405891,2.99811366371949,0.4904992071172172,10.137253657067816,233.0,2.556563692107213,17500.549663816095,36.964296935089926
ODP0129-0801B-043R-001/022-027,15.237506184269368,241.02157926670597,0.722103315379769,7050.408174727284,24.39022322716626,56.31651056735255,1.550776277035478,521.7488533886669,33.71743503641532,37.45617019581974,2.6425851821109276,0.39914006867705953,48.26632023712938,4.990391252959397,3.125743234246061,0.49279017539423026,9.719211322365386,244.0,2.36949331027492,17620.416442335383,35.750050018178925
ODP0129-0801B-043R-001/128-134,15.794729264448868,261.1547018749425,0.7791043118471864,7145.982556086824,25.25197449493586,56.593164826801264,1.7963362948307213,493.8612953262579,31.091731889162887,25.80137453091503,2.083437302169071,0.30728751410743443,46.08426887339866,9.977342523233238,2.749538399198332,0.4692669164155499,10.477085924250838,208.0,2.700277235940983,14863.480536391751,36.04381988065317
