Sample ID,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Hf,Hg,Ho,I,Ir,K,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,Os,P,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr,Unnamed: 0,Top Depth (m),Bottom Depth (m),Depth,Sample Pair,Sample Pair ID,SiO2,TiO2,Al2O3,TFe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,TOTAL,FeO,Fe2O3,Ge,Coment,T Dep,B Dep,vesicles (%),Total Secondary mineral (%),Celadonite(%),Saponite (%),Fe-OX (%),Carbonate (%),Chalcedony (%),Zeolite (%),Quartz (%),DataBase,SAMPLE_INFO
329-U1365E-2R-1-W 36/40,,,,,,5.925352448815549,,,,,,,17.751818892410668,,,1.5622459600809506,,20.105515233290596,18.711190886784795,22.43762100160776,,,21.308859926132488,25.972528784025876,,18.783079619659766,,,3.351033901435933,14.545543140699145,19.448042980708596,18.444697615912062,,,,,,8.93087537444119,23.761041899766095,,,0.486938589263914,0.3911990168169891,,19.356456047786565,,1.7878182671840883,,,,,,,,,21.920807862895888,0.5621025464930278,21.88154269972452,,20.924084655440364,,2.6324812286942865,19.93290249534233,,18.71891665080216,6.1938413330742375,,,16.157261600380703,18.49472267985805,,20.640826873385013,0.0,71.36,71.4,71.38,A1,P1(F1),50.39,1.48,15.82,7.99,0.17,7.33,12.337055476529162,2.92,0.22,0.136125,1.2782105052924495,100.0713909818216,3.211274902439025,4.42191677506775,4.50188994941297,,71.36,71.4,<0.1,3.1,<<0.1,2.9,0.2,<<0.1,,,,South_Pacific,Seafloor altered basalt
329-U1365E-2R-1-W 65/69,,,,,,1.5140972505781098,,,,,,,17.827509407803525,,,0.09746936501011808,,19.858596967456286,18.60033667279746,21.839234120693984,,,20.91676472973674,24.926119904128498,,18.763814703209704,,,1.0662380595477972,13.881869871200369,4.208855245002261,18.06107270899648,,,,,,8.238416849264222,23.54603640256959,,,0.5016943040900933,0.1279696826424784,,19.106498595242556,,0.2380274635830005,,,,,,,,,21.761703930816108,0.44771671722278394,20.582644628099175,,20.873800454482073,,3.5827586206896513,19.528857174490796,,18.977772552109315,7.756933385397625,,,16.24486812358798,18.323624200523387,,20.103359173126613,1.0,71.65,71.69,71.67,F1,,49.5,1.45,15.32,10.22,0.14,7.43,12.316714082503555,2.73,0.07,0.14025,0.6997201119551852,100.01668419445872,6.089340595015576,3.454066005538249,5.648500548716879,,71.65,71.69,0.1,3.4,,3.2,<0.1,<0.1,0.1,,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-1-W 130/134,,,,,,6.071426984805873,,,,,,,17.206953066872305,,,0.2571774029026644,,19.32827121355064,18.017634449646103,21.30625451183212,,,20.345602990192454,24.15178473401558,,18.190938667573214,,,1.523197227925424,14.141906820789947,3.497749728134224,17.67206697700138,,,,,,7.980488338514051,22.98150057275168,,,0.486938589263914,0.23898341615199403,,18.795779856354436,,0.4664203875943968,,,,,,,,,21.11728677546104,0.532425489153122,19.906336088154273,,20.263380495708102,,3.544827586206893,18.990130080022084,,18.396673802184214,7.881560428056299,,,15.821437076604424,17.789772846342707,,19.103359173126616,2.0,82.1,82.14,82.12, ,,49.25,1.41,14.91,10.61,0.16,7.95,12.092958748221909,2.7,0.1,0.136125,0.7593924860111961,100.0784762342331,6.482255123443983,3.4074943072844626,5.701005482672119,,82.1,82.14,<<0.1,2.0,,2.0,,,,,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-2-W 20/22,,,,,,2.3717328363088637,,,,,,,17.244783925719936,,,0.2540530846246612,,19.576633224476996,18.243771624300035,21.400494551291946,,,20.44581278941582,24.43708845775983,,18.336118523929596,,,1.9801563963030513,13.415176020594162,4.928541808500885,17.939879113380044,,,,,,7.952652635273039,22.78135732718388,,,0.486938589263914,0.3539373911977604,,18.434687892533926,,0.42791787953425897,,,,,,,,,21.109635548464425,0.5483873390990894,20.628099173553718,,20.394693091427506,,3.451724137931034,19.12481185363926,,18.573731996230055,7.633501852898163,,,15.868948907214724,17.94065537760706,,19.7312661498708,3.0,82.39,82.41,82.4,F2,,49.73,1.42,15.33,9.5,0.14,7.29,12.306543385490754,2.79,0.13,0.136125,0.8598280343930712,99.63249641988384,4.881025685242518,4.076638127508313,5.141660308376196,,82.39,82.41,<0.1,9.0,,5.0,4,,,,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-2-W 22/24,,,,,,3.7123255916830837,,,,,,,17.311435229287394,,,2.0099860233942928,,19.71839472127336,18.52308392418576,21.85333039147702,,,20.420459908355067,25.084568210831662,,18.51866316671358,,,5.0265508521539,14.249761667859977,15.118595093533642,18.228118090033487,,,,,,8.777356684523415,23.31487193529986,,,0.5016943040900933,0.3769464309296037,,19.15784213671381,,2.578444302520269,,,,,,,,,22.074153410038356,0.6136039425368809,21.079889807162534,,20.387417684139866,,2.5103512047683516,19.663538948107973,,18.270043171380575,5.995643144116125,,,16.381081265049957,18.383484712759785,,19.88113695090439,4.0,82.41,82.43,82.42,A2,P2(F2),49.48,1.46,15.07,10.25,0.14,7.08,12.143812233285916,2.81,0.33,0.14025,1.179292424545365,100.08335465783126,3.6012169754170325,6.248647805092187,5.720585849476023,,82.41,82.43,<0.1,3.4,,3.4,,<<0.1,,,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-2-W 52/56,,,,,,6.955173835243703,,,,,,,12.813289226852476,,,1.6039652962341557,,16.331011676402976,15.494226132731528,18.118272797736,,,16.441414899282748,20.048675214796503,,15.516423527212588,,,7.159026971249493,10.120571069668568,20.69402398082669,15.398387076615426,,,,,,5.8217711577613285,17.730961722848686,,,0.3688928706544803,0.16602164578115713,,14.236034576259273,,3.6089189701603415,,,,,,,,,17.453381224056884,0.37093527303666274,20.041322314049587,,16.61152820196702,,1.305209951386224,16.161812834061347,,15.654839854677304,15.589511701024248,,,13.603867417691225,15.47039472113051,,16.426356589147286,5.0,82.71,82.75,82.72999999999999,,,48.83,1.2,17.45,8.78,0.12,6.68,12.042105263157897,2.65,0.47,0.103125,1.838896662002951,100.16412692516086,2.7795460788824977,5.691615467908335,5.0633924061711895,,82.71,82.75,0.6,14.0,,5.0,6,3,,,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-3-W 33/37,,,,,,3.2051198978710316,,,,,,,11.772106188466946,,,0.2595771501341521,,15.237394994578098,14.48031808272142,16.55445191084813,,,15.209248922380143,18.46980319008067,,14.505692207570615,,,1.2185577823403393,9.538707220817477,22.432786864245706,14.85915100368471,,,,,,5.391649919890434,16.465127257750165,,,0.33938144100212186,0.17358396954430877,,13.311690132155945,,0.6740181708179644,,,,,,,,,16.193114640256063,0.3089032390746975,16.6969696969697,,15.557900243943763,,0.9809897585186724,14.814995097889566,,14.650719205767656,2.972311932555125,,,12.773076549108485,14.47373046762667,,15.542635658914728,6.0,83.54,83.58,83.56,,,46.35,1.1,17.19,8.84,0.13,10.78,10.201209103840682,2.2,0.08,0.094875,3.236116660008077,100.20220076384877,5.310060567735262,2.9399327025163746,5.1554941497309335,,83.54,83.58,1.2,7.0,1.5,4.0,2,,,2.0,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-3-W 112/116,,,,,,2.197681441051089,,,,,,,12.003169483458425,,,0.19384316529733672,,15.747203984821416,14.823102936966112,16.890585222520738,,,16.105915787948966,18.840854313602243,,14.89231595564534,,,1.0662380595477972,9.34100031664269,5.366712602405247,14.774192278631622,,,,,,5.092582490176422,17.119258232536605,,,0.33938144100212186,0.20452361295130445,,13.590896281964628,,0.39220161316954666,,,,,,,,,16.43358241966916,0.30201438206172,21.757575757575758,,16.36873264564118,,2.134482758620686,15.084358645123926,,15.28807896301437,5.3206550903229,,,12.911642149738904,14.851348804747298,,15.095607235142118,7.0,84.33,84.37,84.35,,,47.989,1.12,17.32,8.81,0.13,7.93,11.899715504978662,2.53,0.07,0.094875,1.6400000000000858,99.53359050497876,5.043008154958677,3.20665760560147,4.997893792733548,,84.33,84.37,0.7,4.5,0.6,2.6,0.7,0.2,0.3,,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-4-W 66/68,,,,,,1.9392624470385897,,,,,,,12.999151270616549,,,0.18275277212201435,,16.4540893268423,15.603996028738269,18.16822137085693,,,16.863051947883182,19.61495746549711,,15.590023019611166,,,1.0662380595477972,10.193745932664438,4.0140026328922005,15.384952008351767,,,,,,5.506384273475511,18.049797109207713,,,0.35413715582830074,0.18455926577423967,,14.55018650735961,,0.40400628534715244,,,,,,,,,17.298970262233038,0.37989696587447497,20.334710743801654,,17.074643891056354,,2.5517241379310307,15.757767513209812,,15.898919176813724,5.734072212065812,,,13.512177396983452,15.531260695097052,,15.56330749354005,8.0,85.06,85.08,85.07,F3,,48.863,1.17,18.211,8.42,0.12,6.72,12.581152204836414,2.5,0.07,0.0989999999999999,0.9388733519775676,99.69302555681398,4.793503543455497,3.093884951716115,4.813704156132439,,85.06,85.08,0.4,4.0,<0.1,2.5,1.5,,,,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-4-W 68/70,,,,,,14.94305258104957,,,,,,,13.37318701102455,,,1.2204480316930857,,16.807240482848584,16.209213101873413,18.659061202383104,,,16.8723081648992,20.69440738180435,,15.823259939763595,,,3.5033536242284753,10.702577024122284,18.106427457137052,16.230453467327102,,,,,,5.966954213306535,18.629706969289316,,,0.3688928706544803,0.18154237445173713,,15.003824879182766,,2.1934372759012595,,,,,,,,,17.873482100372687,0.3802844700261266,20.49862258953168,,17.135154190249857,,1.3220362527328309,16.161812834061347,,16.46895244969817,4.059745523550013,,,13.914533867418111,16.027851596577385,,16.103359173126616,9.0,85.08,85.1,85.09,A3,P3(F3),48.24,1.2,17.18,9.32,0.15,7.09,12.0624466571835,2.57,0.23,0.103125,1.7400000000000304,99.88557165718352,3.184071863232682,5.782142374185909,5.251263559115597,,,,,,,,,,,,,South_Pacific,Seafloor altered basalt
329-U1365E-4R-1-W 22/24,,,,,,3.470439881215216,,,,,,,16.193112284137012,,,0.29322919064492925,,19.350270705462727,17.869777082021564,21.24080291795647,,,20.250337263638077,24.416224623534248,,18.17068075412148,,,5.940469188909153,11.984190454318254,20.462247781745887,17.339170046925954,,,,,,7.480212812247768,22.052651939684104,,,0.4574271596115556,0.1317759165607335,,17.77728462399809,,1.3068658181767265,,,,,,,,,20.91964892793887,0.44666476559527546,20.052341597796147,,20.360628993767023,,3.416675574917641,19.394175400873618,,18.122991055132967,28.475478672283387,,,15.519804473380237,17.46700400500626,,19.43410852713178,10.0,85.72,85.74,85.72999999999999,F4,,50.15,1.44,16.42,7.57,0.13,6.66,12.215007112375533,2.96,0.39,0.127875,1.918848690785495,99.981730803161,3.217553054740958,3.994941050287825,4.35669596121095,,85.72,85.74,0.3,7.0,,4.0,3,,,,,South_Pacific,Seafloor altered basalt
