Sample ID,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Hf,Hg,Ho,I,Ir,K,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,Os,P,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr,Unnamed: 0,Top Depth (m),Bottom Depth (m),Depth,Sample Pair,Sample Pair ID,SiO2,TiO2,Al2O3,TFe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,TOTAL,FeO,Fe2O3,Ge,Coment,T Dep,B Dep,vesicles (%),Total Secondary mineral (%),Celadonite(%),Saponite (%),Fe-OX (%),Carbonate (%),Chalcedony (%),Zeolite (%),Quartz (%),DataBase,SAMPLE_INFO
329-U1365E-2R-1-W 36/40,,,,,,2.0432249823501896,,,,,,,6.120627133608636,,,37.17749879686313,,6.929173499668672,6.451462691172675,7.746321536269345,,,7.347266300033937,8.960102163032875,,6.48245308824843,,,7.305253905130334,5.0178947952630235,19.08339217482031,6.331017830326573,,,,,,3.0813398907609155,8.195278114616519,,,6.25331662002079,13.609317908985398,,6.66254827731784,,6.5318714643576135,,,,,,,,,7.553791898700609,5.687155176282399,7.528909952606635,,7.245933019569164,,0.8981406544956977,6.8231858541748736,,6.450437494533176,2.3595586030759,,,5.575143013757739,6.377490579261398,,7.132142857142857,0.0,71.36,71.4,71.38,A1,P1(F1),50.39,1.48,15.82,7.99,0.17,7.33,12.337055476529162,2.92,0.22,0.136125,1.2782105052924495,100.0713909818216,3.211274902439025,4.42191677506775,4.50188994941297,,71.36,71.4,<0.1,3.1,<<0.1,2.9,0.2,<<0.1,,,,South_Pacific,Seafloor altered basalt
329-U1365E-2R-1-W 65/69,,,,,,0.5221025001993483,,,,,,,6.146724370465215,,,2.3195241293547086,,6.8440754813214335,6.413241081974959,7.539735589287209,,,7.21207240261896,8.599108031650802,,6.475804342693105,,,2.324398969814198,4.788942007968686,4.129939209158469,6.199341173087982,,,,,,2.842427131723701,8.12112186115214,,,6.442811063051725,4.451903044041151,,6.576512197637836,,0.8696436464764742,,,,,,,,,7.498965543727173,4.529839727195226,7.081990521327014,,7.228519787015088,,1.2223529411764693,6.684878032806464,,6.539637838902534,2.9550222420562378,,,5.60537207780948,6.318491103628755,,6.946428571428571,1.0,71.65,71.69,71.67,F1,,49.5,1.45,15.32,10.22,0.14,7.43,12.316714082503555,2.73,0.07,0.14025,0.6997201119551852,100.01668419445872,6.089340595015576,3.454066005538249,5.648500548716879,,71.65,71.69,0.1,3.4,,3.2,<0.1,<0.1,0.1,,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-1-W 130/134,,,,,,2.0935955120020253,,,,,,,5.932763536296254,,,6.120171107050747,,6.661303783231836,6.21233021128423,7.355730724322993,,,7.015136601484143,8.331974927657154,,6.27809224746734,,,3.3205699568774243,4.878649077914435,3.4321669207317074,6.06581758399777,,,,,,2.7534363692488872,7.926411201975654,,,6.25331662002079,8.313930111203174,,6.469561907078519,,1.7040870853842527,,,,,,,,,7.2769028753277905,5.386893184372764,6.849289099526066,,7.017133616106325,,1.209411764705881,6.500467604315252,,6.339394350752668,3.002499210688114,,,5.45926510115801,6.1344044297733475,,6.600892857142858,2.0,82.1,82.14,82.12, ,,49.25,1.41,14.91,10.61,0.16,7.95,12.092958748221909,2.7,0.1,0.136125,0.7593924860111961,100.0784762342331,6.482255123443983,3.4074943072844626,5.701005482672119,,82.1,82.14,<<0.1,2.0,,2.0,,,,,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-2-W 20/22,,,,,,0.817838909072022,,,,,,,5.945807190163719,,,6.045820241700797,,6.746899374514461,6.29030042462845,7.388265976041267,,,7.0496888057465625,8.430400095783812,,6.328197002770823,,,4.316740943940652,4.62794281933161,4.836131649591493,6.157742290268286,,,,,,2.743832466026883,7.857380998371397,,,6.25331662002079,12.313033186738991,,6.345273006488126,,1.5634165047550879,,,,,,,,,7.274266303862741,5.548389548531963,7.097630331753553,,7.0626066816610065,,1.1776470588235293,6.546570211438055,,6.400407647349547,2.9080007058659665,,,5.475659293258707,6.186432888830021,,6.817857142857143,3.0,82.39,82.41,82.4,F2,,49.73,1.42,15.33,9.5,0.14,7.29,12.306543385490754,2.79,0.13,0.136125,0.8598280343930712,99.63249641988384,4.881025685242518,4.076638127508313,5.141660308376196,,82.39,82.41,<0.1,9.0,,5.0,4,,,,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-2-W 22/24,,,,,,1.2801122729941667,,,,,,,5.968787808633175,,,47.832578784573045,,6.795756118322162,6.386604978026548,7.544602158962304,,,7.040947166387527,8.653770133574936,,6.391197166073101,,,10.957880857695502,4.915856645244271,14.835121435529887,6.256678371443926,,,,,,3.0283727130333244,8.041392314464574,,,6.442811063051725,13.113488512621426,,6.594184793434101,,9.42045792416854,,,,,,,,,7.606633945351056,6.208228124490795,7.253080568720378,,7.060087235063251,,0.8564727639797906,6.7309806399292675,,6.29575811986763,2.284054531091857,,,5.652373095852404,6.339132659572341,,6.869642857142857,4.0,82.41,82.43,82.42,A2,P2(F2),49.48,1.46,15.07,10.25,0.14,7.08,12.143812233285916,2.81,0.33,0.14025,1.179292424545365,100.08335465783126,3.6012169754170325,6.248647805092187,5.720585849476023,,82.41,82.43,<0.1,3.4,,3.4,,<<0.1,,,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-2-W 52/56,,,,,,2.3983358052564494,,,,,,,4.417877750328854,,,38.170313378736864,,5.6283269549611346,5.3422800520147256,6.255117989694571,,,5.6689777882594035,6.916468536884489,,5.355058363659953,,,15.606678797323895,3.4913760458681957,20.306011031186188,5.2853923208923215,,,,,,2.0086335270817486,6.1154794125334835,,,4.737361075773326,5.775682606752933,,4.900084365016778,,13.18534174924723,,,,,,,,,6.014340827208791,3.7529921742532935,6.895734597156397,,5.752510692162653,,0.44530692459059407,5.532312854736384,,5.394573193165828,5.93886160039019,,,4.694081724346203,5.3346188693553485,,5.675892857142857,5.0,82.71,82.75,82.72999999999999,,,48.83,1.2,17.45,8.78,0.12,6.68,12.042105263157897,2.65,0.47,0.103125,1.838896662002951,100.16412692516086,2.7795460788824977,5.691615467908335,5.0633924061711895,,82.71,82.75,0.6,14.0,,5.0,6,3,,,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-3-W 33/37,,,,,,1.1052137578865626,,,,,,,4.058889570333392,,,6.177279015850709,,5.251422426896658,4.992693005604989,5.715227445411855,,,5.244128613337448,6.371783236448541,,5.006232798466443,,,2.65645596550194,3.2906457224654173,22.012172110541098,5.100303182345833,,,,,,1.860232651182394,5.678888057141305,,,4.35837218971146,6.038766264428771,,4.581922328097154,,2.462554576846736,,,,,,,,,5.580059774682832,3.125373948285175,5.745023696682464,,5.387643232624971,,0.3346906234946059,5.071286783508351,,5.048558645230746,1.1323093076400477,,,4.407413226835235,4.990941540560921,,5.370535714285714,6.0,83.54,83.58,83.56,,,46.35,1.1,17.19,8.84,0.13,10.78,10.201209103840682,2.2,0.08,0.094875,3.236116660008077,100.20220076384877,5.310060567735262,2.9399327025163746,5.1554941497309335,,83.54,83.58,1.2,7.0,1.5,4.0,2,,,2.0,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-3-W 112/116,,,,,,0.7578211865693412,,,,,,,4.13855759091637,,,4.612976591885987,,5.427123218649443,5.1108823668081085,5.831273469679778,,,5.553298145005893,6.499789869999997,,5.139665140789794,,,2.324398969814198,3.2224411572697487,5.266086741110148,5.0711416740168005,,,,,,1.7570480961899018,5.904500439139286,,,4.35837218971146,7.115117239291861,,4.678025894154491,,1.4329255788241704,,,,,,,,,5.662923671642751,3.0556749243891668,7.486255924170616,,5.668431490249817,,0.7282352941176459,5.16349199775396,,5.268189372390086,2.026916224884914,,,4.455225972547271,5.1211547602576895,,5.216071428571429,7.0,84.33,84.37,84.35,,,47.989,1.12,17.32,8.81,0.13,7.93,11.899715504978662,2.53,0.07,0.094875,1.6400000000000858,99.53359050497876,5.043008154958677,3.20665760560147,4.997893792733548,,84.33,84.37,0.7,4.5,0.6,2.6,0.7,0.2,0.3,,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-4-W 66/68,,,,,,0.6687111886339965,,,,,,,4.481960888798495,,,4.3490533112580625,,5.670744489847957,5.380127797408717,6.272362139938702,,,5.814357676661063,6.766842931462757,,5.380459164085317,,,2.324398969814198,3.5166197758973388,3.9387400835254716,5.28078082448831,,,,,,1.8998184169354502,6.225447008862631,,,4.547866632742388,6.420582907920733,,5.008216370286822,,1.4760544598510135,,,,,,,,,5.961131644418141,3.843663419435864,6.996682464454976,,5.912885940050997,,0.8705882352941164,5.394005033367974,,5.47868160822635,2.184408461739357,,,4.662443629288796,5.355607136240363,,5.3776785714285715,8.0,85.06,85.08,85.07,F3,,48.863,1.17,18.211,8.42,0.12,6.72,12.581152204836414,2.5,0.07,0.0989999999999999,0.9388733519775676,99.69302555681398,4.793503543455497,3.093884951716115,4.813704156132439,,85.06,85.08,0.4,4.0,<0.1,2.5,1.5,,,,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-4-W 68/70,,,,,,5.152776752086059,,,,,,,4.610924197603958,,,29.04357341244305,,5.792454657589607,5.588801600750104,6.4418187484417855,,,5.817549207863734,7.139235685761631,,5.460954345064753,,,7.637310900818076,3.6921553926011366,17.76693194231573,5.570993487433897,,,,,,2.0587247355868272,6.425460232391515,,,4.737361075773326,6.3156290830393065,,5.164360012762184,,8.013818078883341,,,,,,,,,6.159105318371669,3.847584049676104,7.053080568720378,,5.933840432549488,,0.45104766269708346,5.532312854736384,,5.675111992801396,1.5465697232571476,,,4.801278719087128,5.526845378130133,,5.564285714285715,9.0,85.08,85.1,85.09,A3,P3(F3),48.24,1.2,17.18,9.32,0.15,7.09,12.0624466571835,2.57,0.23,0.103125,1.7400000000000304,99.88557165718352,3.184071863232682,5.782142374185909,5.251263559115597,,,,,,,,,,,,,South_Pacific,Seafloor altered basalt
