Sample ID,Unnamed: 0,Top Depth (m),Bottom Depth (m),Depth,Sample Pair,Sample Pair ID,SiO2,TiO2,Al2O3,TFe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,TOTAL,FeO,Fe2O3,Ge,Coment,T Dep,B Dep,vesicles (%),Total Secondary mineral (%),Celadonite(%),Saponite (%),Fe-OX (%),Carbonate (%),Chalcedony (%),Zeolite (%),Quartz (%),DataBase,SAMPLE_INFO
329-U1365E-2R-1-W 36/40,0.0,71.36,71.4,71.38,A1,P1(F1),50.39,1.48,15.82,7.99,0.17,7.33,12.337055476529162,2.92,0.22,0.136125,1.2782105052924495,100.0713909818216,3.211274902439025,4.42191677506775,4.50188994941297,,71.36,71.4,<0.1,3.1,<<0.1,2.9,0.2,<<0.1,,,,South_Pacific,Seafloor altered basalt
329-U1365E-2R-1-W 65/69,1.0,71.65,71.69,71.67,F1,,49.5,1.45,15.32,10.22,0.14,7.43,12.316714082503555,2.73,0.07,0.14025,0.6997201119551852,100.01668419445872,6.089340595015576,3.454066005538249,5.648500548716879,,71.65,71.69,0.1,3.4,,3.2,<0.1,<0.1,0.1,,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-1-W 130/134,2.0,82.1,82.14,82.12, ,,49.25,1.41,14.91,10.61,0.16,7.95,12.092958748221909,2.7,0.1,0.136125,0.7593924860111961,100.0784762342331,6.482255123443983,3.4074943072844626,5.701005482672119,,82.1,82.14,<<0.1,2.0,,2.0,,,,,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-2-W 20/22,3.0,82.39,82.41,82.4,F2,,49.73,1.42,15.33,9.5,0.14,7.29,12.306543385490754,2.79,0.13,0.136125,0.8598280343930712,99.63249641988384,4.881025685242518,4.076638127508313,5.141660308376196,,82.39,82.41,<0.1,9.0,,5.0,4,,,,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-2-W 22/24,4.0,82.41,82.43,82.42,A2,P2(F2),49.48,1.46,15.07,10.25,0.14,7.08,12.143812233285916,2.81,0.33,0.14025,1.179292424545365,100.08335465783126,3.6012169754170325,6.248647805092187,5.720585849476023,,82.41,82.43,<0.1,3.4,,3.4,,<<0.1,,,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-2-W 52/56,5.0,82.71,82.75,82.72999999999999,,,48.83,1.2,17.45,8.78,0.12,6.68,12.042105263157897,2.65,0.47,0.103125,1.838896662002951,100.16412692516086,2.7795460788824977,5.691615467908335,5.0633924061711895,,82.71,82.75,0.6,14.0,,5.0,6,3,,,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-3-W 33/37,6.0,83.54,83.58,83.56,,,46.35,1.1,17.19,8.84,0.13,10.78,10.201209103840682,2.2,0.08,0.094875,3.236116660008077,100.20220076384877,5.310060567735262,2.9399327025163746,5.1554941497309335,,83.54,83.58,1.2,7.0,1.5,4.0,2,,,2.0,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-3-W 112/116,7.0,84.33,84.37,84.35,,,47.989,1.12,17.32,8.81,0.13,7.93,11.899715504978662,2.53,0.07,0.094875,1.6400000000000858,99.53359050497876,5.043008154958677,3.20665760560147,4.997893792733548,,84.33,84.37,0.7,4.5,0.6,2.6,0.7,0.2,0.3,,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-4-W 66/68,8.0,85.06,85.08,85.07,F3,,48.863,1.17,18.211,8.42,0.12,6.72,12.581152204836414,2.5,0.07,0.0989999999999999,0.9388733519775676,99.69302555681398,4.793503543455497,3.093884951716115,4.813704156132439,,85.06,85.08,0.4,4.0,<0.1,2.5,1.5,,,,,South_Pacific,Seafloor altered basalt
329-U1365E-3R-4-W 68/70,9.0,85.08,85.1,85.09,A3,P3(F3),48.24,1.2,17.18,9.32,0.15,7.09,12.0624466571835,2.57,0.23,0.103125,1.7400000000000304,99.88557165718352,3.184071863232682,5.782142374185909,5.251263559115597,,,,,,,,,,,,,South_Pacific,Seafloor altered basalt
