Sample ID,Rb,Ba,Th,U,K,La,Ce,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Ti,Nb
329-U1365E-2R-1-W 36/40,0.4105589819764547,0.7923128421106744,1.3309780119596681,2.0056487415690345,1.9345154505720945,3.519745977995057,4.83706879974665,4.055910698652203,4.414379930598347,6.1800653039904025,7.230026028715593,6.519827745855794,6.489688689444735,50.49257356312835,7.7285702597656485,2.6363280733346923,0.15476982722642102,11.428476140377946,7.132142857142857,6.8231858541748736,3.0813398907609155
329-U1365E-2R-1-W 65/69,0.27685574442157707,0.7217388583588249,1.0655976372632068,1.887597518063124,1.5443843496104317,3.1439463380425026,4.551818691964411,3.362312583936594,4.093670823358001,6.166529820116376,7.184700248050192,6.440219979158733,6.582500322070525,50.42831641463833,7.79992782139113,2.5368751721461673,0.1556761009572043,11.378114944932499,6.946428571428571,6.684878032806464,2.842427131723701
329-U1365E-3R-1-W 130/134,0.2539856316487908,0.7312325517649212,1.0874957683304316,1.7376976163676494,1.3818875052407358,3.1576382782290477,4.354816731090835,2.644300917988023,3.7618021746127868,5.965230354963745,7.089846309749652,6.386796004224583,6.576874277446573,50.352761140459755,7.873290917007702,2.442414990614821,0.1514001425070132,11.449231693452928,6.600892857142858,6.500467604315252,2.7534363692488872
329-U1365E-3R-2-W 20/22,0.29477309112770717,0.7154754415943482,1.1172116380893595,1.73055403732502,1.410264457897387,3.1944980447927733,4.538965851960031,3.0410692146408116,3.7295739248526827,6.1255220258393415,7.149964772110961,6.429947198765721,6.51667008285933,50.33942663535097,7.742695476594006,2.4848153496329672,0.1419124762901588,11.430983555387861,6.817857142857143,6.546570211438055,2.743832466026883
329-U1365E-3R-2-W 22/24,0.3067423616247017,0.8541224401631435,1.2506998509842655,1.9575533831033374,1.7205676909694616,3.3738041407823345,4.700156876315326,3.135667086336327,4.1384477866405405,6.158594652587404,7.193418904044658,6.539559868415815,6.599022683218479,50.49519922758638,7.7599514062617425,2.5911706548963545,0.16928972240167256,11.41091084443572,6.869642857142857,6.7309806399292675,3.0283727130333244
329-U1365E-3R-2-W 52/56,1.5309139163133527,1.9616324333798678,1.687835523630241,4.246215285149157,2.9903947522192125,3.961327139104115,4.57046428766254,4.8325310508515225,4.724006349324827,6.213092033441311,6.157593384499878,5.670719772602035,5.435420305837891,49.8347352533123,7.499005691735735,2.468234807092513,0.1179694991759702,11.669229163670828,5.675892857142857,5.532312854736384,2.0086335270817486
329-U1365E-3R-3-W 33/37,2.437002760047554,1.6544395820445734,1.7886520942818047,4.226057563262761,3.558704492322399,3.5603175790059307,4.465367465787641,6.569747986447252,5.675372800702572,5.345298757741959,5.877953858274917,5.242364551658342,5.080702254283917,49.71636098088545,7.351615890221542,2.510675003863111,0.11292612161321954,11.024547254325011,5.370535714285714,5.071286783508351,1.860232651182394
329-U1365E-3R-3-W 112/116,1.4935671811433155,1.6120544468817093,1.646711742430473,2.917456317833363,2.892634957575513,3.677296819676754,4.292903475802316,7.045326822665238,4.979391809435996,5.218787754513379,5.929472568866996,5.361912136373181,5.234157413027237,49.80721623593693,7.517710456167438,2.4110789446256593,0.11067828378991981,11.082054159257961,5.216071428571429,5.16349199775396,1.7570480961899018
329-U1365E-3R-4-W 66/68,1.424285862327462,1.736780265219476,1.5807095695572815,2.8405018655628327,3.2342177884030807,3.896521208340096,4.508882603029818,7.0917805213711285,5.274699778621939,6.022303247157683,6.046722001616728,5.530639376920268,5.41013784777733,49.90816448415967,7.510522192244201,2.565365997129605,0.11822876381343768,11.25063271798054,5.3776785714285715,5.394005033367974,1.8998184169354502
329-U1365E-3R-4-W 68/70,1.1905215367679127,1.618995274773737,1.573454886885932,3.0208211309801425,2.4868934292754723,3.8139096442258063,4.31485563507504,4.0882894438293995,4.201150631952362,5.778099519241889,6.307025735333045,5.872436173509237,5.56864179421607,49.826875556891856,7.663415989014762,2.321005386439901,0.11157968343318067,12.062346649137773,5.564285714285715,5.532312854736384,2.0587247355868272
